Programs,Description,Applicable OS's,Available Package Managers,Is a Command,Other Info
[.tmux](https://github.com/gpakosz/.tmux),"Oh my tmux! My self-contained, pretty & versatile tmux configuration made with.",macOS<br>Linux,[![Github](https://img.shields.io/badge/git-git%20clone-lightgrey)](https://github.com/gpakosz/.tmux),No,Requires `tmux` to be installed.
[bandwhich](https://github.com/imsnif/bandwhich),Terminal bandwidth utilization tool.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/bandwhich?color=f9d194)](https://formulae.brew.sh/formula/bandwhich)<br>[![Crates.io](https://img.shields.io/crates/v/bandwhich?color=dea584)](https://crates.io/crates/bandwhich),Yes," "
[bat](https://github.com/sharkdp/bat),A cat(1) clone with wings.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/bat?color=f9d194)](https://formulae.brew.sh/formula/bat)<br>[![Crates.io](https://img.shields.io/crates/v/bat?color=dea584)](https://crates.io/crates/bat),Yes," "
[black](https://github.com/psf/black),The uncompromising Python code formatter.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/black?color=f9d194)](https://formulae.brew.sh/formula/black)<br>[![PyPI](https://img.shields.io/pypi/v/black?color=3572A5)](https://pypi.org/project/black/),Yes," "
[cheat](https://github.com/cheat/cheat),Cheat allows you to create and view interactive cheatsheets on the command-line.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/cheat?color=f9d194)](https://formulae.brew.sh/formula/cheat),Yes," "
[codespell](https://github.com/codespell-project/codespell),Check code for common misspellings.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/codespell?color=f9d194)](https://formulae.brew.sh/formula/codespell)<br>[![PyPI](https://img.shields.io/pypi/v/codespell?color=3572A5)](https://pypi.org/project/codespell/),Yes," "
[coreutils](https://github.com/coreutils/coreutils),"These are the GNU core utilities. This package is the union of the GNU `fileutils`, `sh-utils`, and `textutils` packages.",macOS,[![homebrew version](https://img.shields.io/homebrew/v/coreutils?color=f9d194)](https://formulae.brew.sh/formula/coreutils),Collection,"All GNU commands installed via coreutils, are the same as they are on Linux, but prefixed with a `g` (i.e. `gcp` for `cp`)."
[duf](https://github.com/muesli/duf),Disk Usage/Free Utility - a better 'df' alternative.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/duf?color=f9d194)](https://formulae.brew.sh/formula/duf),Yes," "
[ffmpeg](https://github.com/FFmpeg/FFmpeg),"FFmpeg is a collection of libraries and tools to process multimedia content such as audio, video, subtitles and related metadata.",macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/ffmpeg?color=f9d194)](https://formulae.brew.sh/formula/ffmpeg),Yes," "
[fzf](https://github.com/junegunn/fzf),A command-line fuzzy finder.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/fzf?color=f9d194)](https://formulae.brew.sh/formula/fzf),Yes," "
[fzf-tab](https://github.com/Aloxaf/fzf-tab),Replace zsh's default completion selection menu with fzf!,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/fzf-tab?color=f9d194)](https://formulae.brew.sh/formula/fzf-tab)<br>[![Github](https://img.shields.io/badge/git-git%20clone-lightgrey)](https://github.com/Aloxaf/fzf-tab),No," "
[gallery-dl](https://github.com/mikf/gallery-dl),Command-line program to download image galleries and collections from several image hosting sites.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/gallery-dl?color=f9d194)](https://formulae.brew.sh/formula/gallery-dl)<br>[![PyPI](https://img.shields.io/pypi/v/gallery-dl?color=3572A5)](https://pypi.org/project/gallery-dl/),Yes," "
[git](https://github.com/git/git),"Git is a fast, scalable, distributed revision control system with an unusually rich command set that provides both high-level operations and full access to internals.",macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/git?color=f9d194)](https://formulae.brew.sh/formula/git),Yes," "
[git-delta](https://github.com/dandavison/delta),"A syntax-highlighting pager for git, diff, and grep output",macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/git-delta?color=f9d194)](https://formulae.brew.sh/formula/git-delta)<br>[![Crates.io](https://img.shields.io/crates/v/git-delta?color=dea584)](https://crates.io/crates/git-delta),No," "
[git-open](https://github.com/paulirish/git-open),Type `git open` to open the GitHub page or website for a repository in your browser.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/git-open?color=f9d194)](https://formulae.brew.sh/formula/git-open),Yes<br>`git open`," "
[gnupg](https://github.com/gpg/gnupg),The GNU Privacy Guard,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/gnupg?color=f9d194)](https://formulae.brew.sh/formula/gnupg),Yes<br>`gpg` or `gpg2`," "
[htop](https://github.com/htop-dev/htop),Improved top (interactive process viewer).,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/htop?color=f9d194)](https://formulae.brew.sh/formula/htop),Yes," "
[imagemagick](https://github.com/ImageMagick/ImageMagick),"Use ImageMagick® to create, edit, compose, or convert digital images. It can read and write images in a variety of formats (over 200) including PNG, JPEG, GIF, WebP, HEIC, SVG, PDF, DPX, EXR and TIFF.",macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/imagemagick?color=f9d194)](https://formulae.brew.sh/formula/imagemagick),Yes<br>`magick`,More info [here](https://imagemagick.org/script/command-line-tools.php).
[isort](https://github.com/PyCQA/isort),A Python utility / library to sort imports.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/isort?color=f9d194)](https://formulae.brew.sh/formula/isort)<br>[![PyPI](https://img.shields.io/pypi/v/isort?color=3572A5)](https://pypi.org/project/isort/),Yes," "
[lazygit](https://github.com/jesseduffield/lazygit/),Simple terminal UI for git commands.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/lazygit?color=f9d194)](https://formulae.brew.sh/formula/lazygit),Yes," "
[lynis](https://github.com/CISOfy/lynis),Security and system auditing tool to harden systems.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/lynis?color=f9d194)](https://formulae.brew.sh/formula/lynis)<br>[![Github](https://img.shields.io/badge/git-git%20clone-lightgrey)](https://github.com/CISOfy/lynis),Yes,Recommended install method: [Git](https://github.com/CISOfy/Lynis).
[ncdu](https://code.blicky.net/yorhel/ncdu),ncdu (NCurses Disk Usage) is a curses-based version of the well-known 'du'.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/ncdu?color=f9d194)](https://formulae.brew.sh/formula/ncdu),Yes," "
[neovim](https://github.com/neovim/neovim),Vim-fork focused on extensibility and usability.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/neovim?color=f9d194)](https://formulae.brew.sh/formula/neovim),No<br>`nvim`," "
[prettier](https://github.com/prettier/prettier),"Code formatter for JavaScript, CSS, JSON, GraphQL, Markdown, YAML.",macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/prettier?color=f9d194)](https://formulae.brew.sh/formula/prettier)<br>[![npm](https://img.shields.io/npm/v/prettier?color=f1e05a)](https://www.npmjs.com/package/prettier),Yes," "
[pstree](https://github.com/FredHucht/pstree),List processes as a tree.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/pstree?color=f9d194)](https://formulae.brew.sh/formula/pstree),Yes," "
[pipenv](https://github.com/pypa/pipenv),Python dependency management tool.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/pipenv?color=f9d194)](https://formulae.brew.sh/formula/pipenv)<br>[![PyPI](https://img.shields.io/pypi/v/pipenv?color=3572A5)](https://pypi.org/project/pipenv/),Yes," "
[pipx](https://github.com/pypa/pipx),Install and Run Python Applications in Isolated Environments.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/pipx?color=f9d194)](https://formulae.brew.sh/formula/pipx)<br>[![PyPI](https://img.shields.io/pypi/v/pipx?color=3572A5)](https://pypi.org/project/pipx/),Yes," "
[pyenv](https://github.com/pyenv/pyenv),Simple Python version management.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/pyenv?color=f9d194)](https://formulae.brew.sh/formula/pyenv),Yes," "
[pylint](https://github.com/PyCQA/pylint),It's not just a linter that annoys you!,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/pylint?color=f9d194)](https://formulae.brew.sh/formula/pylint)<br>[![PyPI](https://img.shields.io/pypi/v/pylint?color=3572A5)](https://pypi.org/project/pylint/),Yes," "
[shellcheck](https://github.com/koalaman/shellcheck),Shell script analysis tool.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/shellcheck?color=f9d194)](https://formulae.brew.sh/formula/shellcheck),Yes," "
[shellharden](https://github.com/anordal/shellharden),"Shellharden is a syntax highlighter and a tool to semi-automate the rewriting of scripts to ShellCheck conformance, mainly focused on quoting.",macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/shellharden?color=f9d194)](https://formulae.brew.sh/formula/shellharden)<br>[![Crates.io](https://img.shields.io/crates/v/shellharden?color=dea584)](https://crates.io/crates/shellharden),Yes," "
[terminal-notifier](https://github.com/julienXX/terminal-notifier),Send macOS User Notifications from the command-line.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/terminal-notifier?color=f9d194)](https://formulae.brew.sh/formula/terminal-notifier)<br>[![Gem](https://img.shields.io/gem/v/terminal-notifier?color=701516)](https://rubygems.org/gems/terminal-notifier),No,Also see the [bgnotify](#oh-my-zsh-plugins) plugin.
[tmux](https://github.com/tmux/tmux),"tmux is a terminal multiplexer: it enables a number of terminals to be created, accessed, and controlled from a single screen.",macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/tmux?color=f9d194)](https://formulae.brew.sh/formula/tmux)," "," "
[trash-cli](https://github.com/andreafrancia/trash-cli),Command line interface to the freedesktop.org trashcan.,macOS<br>Linux,[![homebrew version](https://img.shields.io/homebrew/v/trash-cli?color=f9d194)](https://formulae.brew.sh/formula/trash-cli)<br>[![PyPI](https://img.shields.io/pypi/v/trash-cli?color=3572A5)](https://pypi.org/project/trash-cli/),Collection," "
